Icon,Date/Time,Description,"Event Type"
true,"2024-10-08 22:07:28","/var/lib/systemd/timers/stamp-apt-daily-upgrade.timer","File Changed"
true,"2024-10-08 22:07:28","/var/lib/systemd/timers/stamp-e2scrub_all.timer","File Changed"
true,"2024-10-08 22:07:28","/var/lib/systemd/timers/stamp-logrotate.timer","File Changed"
true,"2024-10-08 22:07:28",/var/backups,"File Changed"
true,"2024-10-08 22:07:28",/var/backups/dpkg.arch.0,"File Changed"
true,"2024-10-08 22:07:28","/var/backups/dpkg.status.0","File Changed"
true,"2024-10-08 22:07:28","/var/backups/dpkg.diversions.0","File Changed"
true,"2024-10-08 22:07:28","/var/backups/dpkg.statoverride.0","File Changed"
true,"2024-10-08 22:07:28","/var/backups/alternatives.tar.0","File Changed"
true,"2024-10-08 22:07:29","/home/debian/.cache/mozilla/firefox/4xxmsohp.default-esr/cache2/entries/C42CBBB9FA423ACADF17D269346DEB3611655235","File Changed"
true,"2024-10-08 22:07:30","/home/debian/.cache/mozilla/firefox/4xxmsohp.default-esr/cache2/entries/722CEFFC717241CCB3B6D4A21B8A31CF9A5A1221","File Changed"
true,"2024-10-08 22:07:47",/root,"File Changed"
true,"2024-10-08 22:07:47",/root/.lesshst,"File Changed"
true,"2024-10-08 22:07:49","/home/debian/.cache/mozilla/firefox/4xxmsohp.default-esr/cache2/entries/B996BE44D739506C4EDAC2809CC4FBDF055983A4","File Changed"
true,"2024-10-08 22:07:49","/home/debian/.cache/mozilla/firefox/4xxmsohp.default-esr/cache2/entries/0373964E1E4572473A350EF46FEFC8D02FDB60D3","File Changed"
true,"2024-10-08 22:07:55","/home/debian/.cache/mozilla/firefox/4xxmsohp.default-esr/cache2/entries/79E08B456BA5185D9FD93F0DABE16AD1BEDF0B84","File Changed"
true,"2024-10-08 22:08:05","/home/debian/.cache/mozilla/firefox/4xxmsohp.default-esr/cache2/entries/7FE45A334C3349EC402D4C14FCF6C5507003D4F7","File Changed"
true,"2024-10-08 22:08:20","/home/debian/.cache/mozilla/firefox/4xxmsohp.default-esr/cache2/entries/FD728E2F29AA37FA5799113B4F58C1FD04C83086","File Changed"
true,"2024-10-08 22:08:21","/home/debian/.cache/mozilla/firefox/4xxmsohp.default-esr/cache2/entries/C47F72853CF337F9FC91C35D1903F6D2F0C707CE","File Changed"
true,"2024-10-08 22:08:44","/home/debian/.mozilla/firefox/4xxmsohp.default-esr/datareporting/archived","File Changed"
true,"2024-10-08 22:08:44","/home/debian/.mozilla/firefox/4xxmsohp.default-esr/datareporting/archived/2024-10","File Changed"
true,"2024-10-08 22:08:44","/home/debian/.mozilla/firefox/4xxmsohp.default-esr/datareporting/archived/2024-10/1728418124954.65ac510d-6c88-48cf-981a-6a1679bdea34.main.jsonlz4","File Changed"
true,"2024-10-08 22:08:45","/home/debian/.cache/mozilla/firefox/4xxmsohp.default-esr/cache2/entries/5A94AA18C0C517415B90094E8C5C3994C8F2BCF7","File Changed"
true,"2024-10-08 22:08:45","/home/debian/.cache/mozilla/firefox/4xxmsohp.default-esr/cache2/entries/F56CF235EF68AC1ACE646FB9407F144FB1BB3870","File Changed"
true,"2024-10-08 22:08:45","/home/debian/.cache/mozilla/firefox/4xxmsohp.default-esr/cache2/entries/09C3C997E951541858E8F1ABF42F48BE8094F107","File Changed"
true,"2024-10-08 22:08:46","/home/debian/.cache/mozilla/firefox/4xxmsohp.default-esr/cache2/entries/94DF0BF46ABDC4893535624B07B36B42AB35277E","File Changed"
true,"2024-10-08 22:08:50","/home/debian/.cache/mozilla/firefox/4xxmsohp.default-esr/cache2/entries/2197729945A5F9F0412E04105A879F162BA653DE","File Changed"
true,"2024-10-08 22:08:58","/var/cache/debconf/tmp.ci","File Changed"
true,"2024-10-08 22:09:00",/etc/logrotate.d,"File Changed"
true,"2024-10-08 22:09:00",/etc/logrotate.d/vsftpd,"File Changed"
true,"2024-10-08 22:09:00",/etc/rc0.d,"File Changed"
true,"2024-10-08 22:09:00",/etc/rc0.d/K01vsftpd,"File Changed"
true,"2024-10-08 22:09:00",/etc/rc1.d,"File Changed"
true,"2024-10-08 22:09:00",/etc/rc1.d/K01vsftpd,"File Changed"
true,"2024-10-08 22:09:00",/etc/rc2.d,"File Changed"
true,"2024-10-08 22:09:00",/etc/rc2.d/S01vsftpd,"File Changed"
true,"2024-10-08 22:09:00",/etc/rc3.d,"File Changed"
true,"2024-10-08 22:09:00",/etc/rc3.d/S01vsftpd,"File Changed"
true,"2024-10-08 22:09:00",/etc/rc4.d,"File Changed"
true,"2024-10-08 22:09:00",/etc/rc4.d/S01vsftpd,"File Changed"
true,"2024-10-08 22:09:00",/etc/rc5.d,"File Changed"
true,"2024-10-08 22:09:00",/etc/rc5.d/S01vsftpd,"File Changed"
true,"2024-10-08 22:09:00",/etc/rc6.d,"File Changed"
true,"2024-10-08 22:09:00",/etc/rc6.d/K01vsftpd,"File Changed"
true,"2024-10-08 22:09:00","/etc/systemd/system/multi-user.target.wants","File Changed"
true,"2024-10-08 22:09:00","/etc/systemd/system/multi-user.target.wants/vsftpd.service","File Changed"
true,"2024-10-08 22:09:00",/etc/pam.d,"File Changed"
true,"2024-10-08 22:09:00",/etc/pam.d/vsftpd,"File Changed"
true,"2024-10-08 22:09:00",/etc/init.d,"File Changed"
true,"2024-10-08 22:09:00",/etc/init.d/vsftpd,"File Changed"
true,"2024-10-08 22:09:00",/etc/passwd,"File Changed"
true,"2024-10-08 22:09:00",/etc/group,"File Changed"
true,"2024-10-08 22:09:00",/etc/passwd-,"File Changed"
true,"2024-10-08 22:09:00",/etc/shadow,"File Changed"
true,"2024-10-08 22:09:00",/etc/group-,"File Changed"
true,"2024-10-08 22:09:00",/etc/gshadow,"File Changed"
true,"2024-10-08 22:09:00",/etc/gshadow-,"File Changed"
true,"2024-10-08 22:09:00",/etc/shadow-,"File Changed"
true,"2024-10-08 22:09:00",/etc/ftpusers,"File Changed"
true,"2024-10-08 22:09:00","/var/lib/dpkg/info/vsftpd.prerm","File Changed"
true,"2024-10-08 22:09:00","/var/lib/dpkg/info/vsftpd.conffiles","File Changed"
true,"2024-10-08 22:09:00","/var/lib/dpkg/info/vsftpd.md5sums","File Changed"
true,"2024-10-08 22:09:00","/var/lib/dpkg/info/vsftpd.templates","File Changed"
true,"2024-10-08 22:09:00","/var/lib/dpkg/info/vsftpd.preinst","File Changed"
true,"2024-10-08 22:09:00","/var/lib/dpkg/info/vsftpd.postrm","File Changed"
true,"2024-10-08 22:09:00","/var/lib/dpkg/info/vsftpd.config","File Changed"
true,"2024-10-08 22:09:00","/var/lib/dpkg/info/vsftpd.list","File Changed"
true,"2024-10-08 22:09:00","/var/lib/dpkg/info/vsftpd.postinst","File Changed"
true,"2024-10-08 22:09:00","/var/lib/systemd/deb-systemd-helper-enabled","File Changed"
true,"2024-10-08 22:09:00","/var/lib/systemd/deb-systemd-helper-enabled/multi-user.target.wants","File Changed"
true,"2024-10-08 22:09:00","/var/lib/systemd/deb-systemd-helper-enabled/multi-user.target.wants/vsftpd.service","File Changed"
true,"2024-10-08 22:09:00","/var/lib/systemd/deb-systemd-helper-enabled/vsftpd.service.dsh-also","File Changed"
true,"2024-10-08 22:09:00",/usr/share/doc/vsftpd,"File Changed"
true,"2024-10-08 22:09:00","/usr/share/doc/vsftpd/BENCHMARKS","File Changed"
true,"2024-10-08 22:09:00","/usr/share/doc/vsftpd/BUGS","File Changed"
true,"2024-10-08 22:09:00","/usr/share/doc/vsftpd/FAQ.gz","File Changed"
true,"2024-10-08 22:09:00","/usr/share/doc/vsftpd/NEWS.Debian.gz","File Changed"
true,"2024-10-08 22:09:00","/usr/share/doc/vsftpd/README","File Changed"
true,"2024-10-08 22:09:00","/usr/share/doc/vsftpd/README.Debian","File Changed"
true,"2024-10-08 22:09:00","/usr/share/doc/vsftpd/README.security","File Changed"
true,"2024-10-08 22:09:00","/usr/share/doc/vsftpd/README.ssl","File Changed"
true,"2024-10-08 22:09:00","/usr/share/doc/vsftpd/REWARD","File Changed"
true,"2024-10-08 22:09:00","/usr/share/doc/vsftpd/SIZE","File Changed"
true,"2024-10-08 22:09:00","/usr/share/doc/vsftpd/SPEED","File Changed"
true,"2024-10-08 22:09:00","/usr/share/doc/vsftpd/TODO","File Changed"
true,"2024-10-08 22:09:00","/usr/share/doc/vsftpd/TUNING","File Changed"
true,"2024-10-08 22:09:00","/usr/share/doc/vsftpd/changelog.Debian.amd64.gz","File Changed"
true,"2024-10-08 22:09:00","/usr/share/doc/vsftpd/changelog.Debian.gz","File Changed"
true,"2024-10-08 22:09:00","/usr/share/doc/vsftpd/SECURITY","File Changed"
true,"2024-10-08 22:09:00","/usr/share/doc/vsftpd/SECURITY/IMPLEMENTATION","File Changed"
true,"2024-10-08 22:09:00","/usr/share/doc/vsftpd/SECURITY/OVERVIEW","File Changed"
true,"2024-10-08 22:09:00","/usr/share/doc/vsftpd/SECURITY/TRUST.gz","File Changed"
true,"2024-10-08 22:09:00","/usr/share/doc/vsftpd/SECURITY/DESIGN.gz","File Changed"
true,"2024-10-08 22:09:00","/usr/share/doc/vsftpd/changelog.gz","File Changed"
true,"2024-10-08 22:09:00","/usr/share/doc/vsftpd/copyright","File Changed"
true,"2024-10-08 22:09:00","/usr/share/doc/vsftpd/AUDIT","File Changed"
true,"2024-10-08 22:09:00","/usr/share/doc/vsftpd/examples","File Changed"
true,"2024-10-08 22:09:00","/usr/share/doc/vsftpd/examples/INTERNET_SITE_NOINETD","File Changed"
true,"2024-10-08 22:09:00","/usr/share/doc/vsftpd/examples/INTERNET_SITE_NOINETD/vsftpd.conf","File Changed"
true,"2024-10-08 22:09:00","/usr/share/doc/vsftpd/examples/INTERNET_SITE_NOINETD/README","File Changed"
true,"2024-10-08 22:09:00","/usr/share/doc/vsftpd/examples/INTERNET_SITE","File Changed"
true,"2024-10-08 22:09:00","/usr/share/doc/vsftpd/examples/INTERNET_SITE/vsftpd.conf","File Changed"
true,"2024-10-08 22:09:00","/usr/share/doc/vsftpd/examples/INTERNET_SITE/vsftpd.xinetd","File Changed"
true,"2024-10-08 22:09:00","/usr/share/doc/vsftpd/examples/INTERNET_SITE/README.gz","File Changed"
true,"2024-10-08 22:09:00","/usr/share/doc/vsftpd/examples/PER_IP_CONFIG","File Changed"
true,"2024-10-08 22:09:00","/usr/share/doc/vsftpd/examples/PER_IP_CONFIG/hosts.allow","File Changed"
true,"2024-10-08 22:09:00","/usr/share/doc/vsftpd/examples/PER_IP_CONFIG/README","File Changed"
true,"2024-10-08 22:09:00","/usr/share/doc/vsftpd/examples/README","File Changed"
true,"2024-10-08 22:09:00","/usr/share/doc/vsftpd/examples/VIRTUAL_HOSTS","File Changed"
true,"2024-10-08 22:09:00","/usr/share/doc/vsftpd/examples/VIRTUAL_HOSTS/README","File Changed"
true,"2024-10-08 22:09:00","/usr/share/doc/vsftpd/examples/VIRTUAL_USERS","File Changed"
true,"2024-10-08 22:09:00","/usr/share/doc/vsftpd/examples/VIRTUAL_USERS/logins.txt","File Changed"
true,"2024-10-08 22:09:00","/usr/share/doc/vsftpd/examples/VIRTUAL_USERS/vsftpd.conf","File Changed"
true,"2024-10-08 22:09:00","/usr/share/doc/vsftpd/examples/VIRTUAL_USERS/vsftpd.pam","File Changed"
true,"2024-10-08 22:09:00","/usr/share/doc/vsftpd/examples/VIRTUAL_USERS/README.gz","File Changed"
true,"2024-10-08 22:09:00","/usr/share/doc/vsftpd/examples/VIRTUAL_USERS_2","File Changed"
